name,adress,lattitude,longitude
Гимназия № 1925,"ул. Новокосинская, д. 13А",55.735439,37.852769
Школа № 368 Лосиный остров,"ул. Уссурийская, д. 12",55.822084,37.817834
Школа № 1246,"Открытое шоссе, д.29А",55.829067,37.761276
Школа № 1373,"ул. Чечулина, д. 28",55.781023,37.836645
Школа № 356 имени Н.З. Коляды,"Сиреневый блв., д. 55",55.803894,37.815301
Школа № 362,"ул. Ивантеевская, д.32А",55.813506,37.728586
Школа № 374,"ул. Миллионная, д. 5, к. 1",55.816293,37.696759
Школа № 386,"ул. Бойцовая, д. 6, к. 8А",55.809393,37.720286
Школа с углубленным изучением экологии № 390 имени генерала П.И. Батова,"Маршала Рокоссовского бульв., д. 34/2",55.818088,37.715686
Школа № 399,"ул. 5-я Парковая, д. 49",55.805579,37.786411
Школа № 400,"Шоссе Энтузиастов, д. 100А",55.77317,37.835692
Школа № 423,"Федеративный проспект, д. 1А",55.758499,37.797038
Школа с углубленным изучением экологии № 446,"Нижний Журавлев пер., д.3.",55.78359,37.706164
Школа № 448,"пос. Акулово, д.43А.",56.003417,37.792519
Школа № 633,Федеративный проспект д. 37 а,55.754405,37.827419
Школа № 664,"ул. Главная, д. 13",55.819545,37.866585
Школа № 799,"ул. Саянская, 3А",55.768694,37.825451
Школа № 810,"ул. Красный Казанец, 3А",55.724358,37.806407
СОШ № 892,"ул. Реутовская, д. 2 А",55.740907,37.832827
Школа № 920,"ул. Перовская, д. 37.",55.746669,37.778218
Школа № 922,"ул. Молостовых, д. 6А.",55.763179,37.826898
Школа № 1021,"ул. Главная, д.9А",55.819762,37.863585
Школа № 1022,"ул. Муромская, д. 1А",55.71338,37.85259
Школа № 1076,"ул. Новосибирская, д.3А",55.813061,37.818265
Школа № 1078,"ул. Алтайская , д. 10А",55.818887,37.807979
Школа № 1349,"ул. Открытое шоссе, д. 6, к. 12",55.809398,37.735261
Центр образования № 1483,"7-я Парковая ул., д. 1 А",55.790074,37.792609
Центр образования № 1602,"ул. Златоустовская, д. 3",55.7035,37.864627
Школа № 2093 им. А.Н. Савельева,"Союзный проспект, д.2",55.750459,37.80338
Школа № 2094,"Измайловский бульв., д.7 , стр 1",55.797604,37.784803
Школа № 2128 Энергия,"ул. Суздальская, д. 12В, стр.1",55.738987,37.85047
Школа № 1080,"Знаменская улица, дом 12/4",55.801708,37.72051
"Колледж Архитектуры, Дизайна и Реинжиниринга № 26","ул. Цимлянская, д. 7, стр.1",55.668686,37.76999
Московский колледж архитектуры и градостроительства,"Анадырский пр., д. 79, стр.1-2",55.884115,37.712812
Школа № 630 имени дважды Героя Советского Союза Г.П. Кравченко,Варшавское шоссе д.12.,55.697163,37.61963
Школа Технологии обучения,"ул. Красноармейская, д. 15",55.800084,37.541871
